iid,id,gender,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,age,field,race,from
1,1,0,6,8,8,8,8,6,7,21,Law,4,Chicago
1,1,0,7,8,10,7,7,5,8,21,Law,4,Chicago
1,1,0,10,10,10,10,10,10,10,21,Law,4,Chicago
1,1,0,7,8,9,8,9,8,7,21,Law,4,Chicago
1,1,0,8,7,9,6,9,7,8,21,Law,4,Chicago
1,1,0,7,7,8,8,7,7,7,21,Law,4,Chicago
1,1,0,3,6,7,5,8,7,2,21,Law,4,Chicago
1,1,0,6,7,5,6,8,6,7,21,Law,4,Chicago
1,1,0,7,7,8,8,8,9,6.5,21,Law,4,Chicago
1,1,0,6,6,6,6,6,6,6,21,Law,4,Chicago
2,2,0,8,7,6,9,7,4,7,24,law,2,Alabama
2,2,0,7,6,10,6,6,5,8,24,law,2,Alabama
2,2,0,10,10,10,10,10,10,10,24,law,2,Alabama
2,2,0,9,9,9,9,9,9,9,24,law,2,Alabama
2,2,0,10,10,10,10,7,8,10,24,law,2,Alabama
2,2,0,7,8,7,5,7,7,7,24,law,2,Alabama
2,2,0,5,3,4,3,5,3,4,24,law,2,Alabama
2,2,0,7,7,7,7,7,5,7,24,law,2,Alabama
2,2,0,8,6,9,9,8,7,8,24,law,2,Alabama
2,2,0,6,5,7,7,9,7,6,24,law,2,Alabama
3,3,0,7,8,6,5,8,4,5,25,Economics,2,Connecticut
3,3,0,6,7,10,6,6,5,7,25,Economics,2,Connecticut
3,3,0,10,10,10,10,10,10,10,25,Economics,2,Connecticut
3,3,0,7,9,8,8,8,8,7,25,Economics,2,Connecticut
3,3,0,6,10,8,6,,,6,25,Economics,2,Connecticut
3,3,0,7,6,6,6,6,6,6,25,Economics,2,Connecticut
3,3,0,6,3,5,4,5,4,2,25,Economics,2,Connecticut
3,3,0,4,5,6,4,6,4,5,25,Economics,2,Connecticut
3,3,0,7,7,6,8,7,7,7,25,Economics,2,Connecticut
3,3,0,5,6,8,5,8,6,5,25,Economics,2,Connecticut
4,4,0,6,7,8,7,7,5,6,23,Law,2,Texas
4,4,0,6,5,10,6,6,5,6,23,Law,2,Texas
4,4,0,10,10,10,10,10,10,10,23,Law,2,Texas
4,4,0,7,7,7,9,9,9,8,23,Law,2,Texas
4,4,0,8,8,9,8,8,9,9,23,Law,2,Texas
4,4,0,6,6,7,7,8,7,6,23,Law,2,Texas
4,4,0,7,6,3,5,6,5,6,23,Law,2,Texas
4,4,0,6,7,8,6,6,5,7,23,Law,2,Texas
4,4,0,7,7,7,10,9,10,8,23,Law,2,Texas
4,4,0,7,8,8,7,8,7,7,23,Law,2,Texas
5,5,0,6,8,8,8,7,6,6,21,Law,2,Bowdoin College
5,5,0,6,7,10,7,6,5,7,21,Law,2,Bowdoin College
5,5,0,10,10,10,10,10,10,10,21,Law,2,Bowdoin College
5,5,0,6,8,6,8,10,10,7,21,Law,2,Bowdoin College
